epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8805,0.79354,3.11012,1.02456,0.00706,1,0.45438,0.30426,0.68083,3.20352,0.89622,0.00010002,0.00010002,0.00010002
2,23.4904,0.87633,2.41851,1.02067,0.00842,1,0.50535,0.39432,0.65815,3.13232,0.8783,0.000212419,0.000212419,0.000212419
3,35.8184,0.84973,1.71258,0.96285,0.00882,1,0.5049,0.40765,0.63323,2.93324,0.88007,0.000320197,0.000320197,0.000320197
4,47.4467,0.80945,1.35203,0.94,0.00898,1,0.55819,0.4539,0.73018,2.77854,0.92495,0.000423355,0.000423355,0.000423355
5,58.3787,0.8322,1.17419,0.98765,0.99528,0.5,0.50458,0.3851,0.73582,2.73914,0.95041,0.000521891,0.000521891,0.000521891
6,69.0314,0.78266,1.09516,0.96477,0.99572,0.5,0.50462,0.37729,0.73025,2.72557,0.94026,0.000615806,0.000615806,0.000615806
7,79.6634,0.75298,1.02618,0.94717,0.99953,0.5,0.50428,0.39371,0.72458,2.65614,0.90832,0.000705101,0.000705101,0.000705101
8,90.9437,0.75116,0.91065,0.92778,1,0.31868,0.58079,0.46269,0.69295,2.67667,0.89333,0.000789775,0.000789775,0.000789775
9,102.528,0.73956,0.95277,0.91384,1,0.28984,0.50371,0.38438,0.70518,2.7398,0.89158,0.000869827,0.000869827,0.000869827
10,113.836,0.74267,0.92075,0.94728,1,0.41414,0.50358,0.38814,0.68497,2.67243,0.89056,0.000945259,0.000945259,0.000945259
11,127.005,0.7177,0.86485,0.9279,0.99196,0.5,0.995,0.8228,0.72958,2.36741,0.90414,0.00101607,0.00101607,0.00101607
12,144.034,0.71366,0.82435,0.93305,0.98714,0.5,0.995,0.82553,0.72922,1.96331,0.90501,0.00108226,0.00108226,0.00108226
13,159.594,0.70639,0.8824,0.95342,0.98572,0.5,0.995,0.81969,0.71895,1.77971,0.90307,0.00114383,0.00114383,0.00114383
14,175.89,0.72632,0.85759,0.93686,0.98572,0.5,0.995,0.81969,0.71895,1.77971,0.90307,0.00120078,0.00120078,0.00120078
15,193.722,0.71921,0.85285,0.93278,0.965,0.89004,0.995,0.8092,0.7384,1.58345,0.91629,0.00120491,0.00120491,0.00120491
16,212.599,0.65077,0.82148,0.89762,0.98422,1,0.995,0.8263,0.71994,1.08725,0.91489,0.0011719,0.0011719,0.0011719
17,230.957,0.70018,0.80146,0.91423,0.98843,1,0.995,0.81232,0.74747,0.95,0.91283,0.00113889,0.00113889,0.00113889
18,244.796,0.70512,0.84062,0.94595,0.99059,1,0.995,0.82449,0.7062,0.89461,0.89453,0.00110589,0.00110589,0.00110589
19,259.965,0.71276,0.81725,0.96201,0.98813,1,0.995,0.82817,0.66377,0.95388,0.8806,0.00107288,0.00107288,0.00107288
20,274.942,0.66624,0.79925,0.91013,0.98635,1,0.995,0.84122,0.64456,0.96679,0.87106,0.00103987,0.00103987,0.00103987
21,290.621,0.67696,0.7945,0.93473,0.9928,1,0.995,0.83811,0.64653,0.79557,0.86789,0.00100687,0.00100687,0.00100687
22,308.176,0.6959,0.76867,0.94877,0.9928,1,0.995,0.83811,0.64653,0.79557,0.86789,0.000973861,0.000973861,0.000973861
23,325.622,0.64803,0.71467,0.90341,0.99696,1,0.995,0.85567,0.61395,0.70901,0.86101,0.000940855,0.000940855,0.000940855
24,343.828,0.65223,0.69972,0.90753,0.99593,1,0.995,0.85701,0.61303,0.6789,0.86468,0.000907848,0.000907848,0.000907848
25,362.74,0.6799,0.75743,0.91557,0.99662,1,0.995,0.8369,0.63043,0.65517,0.86796,0.000874842,0.000874842,0.000874842
26,381.541,0.68233,0.714,0.93187,0.9968,1,0.995,0.83463,0.66135,0.65207,0.87302,0.000841835,0.000841835,0.000841835
27,400.342,0.63168,0.72688,0.89729,0.99812,1,0.995,0.83852,0.66707,0.65654,0.873,0.000808828,0.000808828,0.000808828
28,419.124,0.65333,0.7257,0.90704,0.99805,1,0.995,0.83879,0.64869,0.63875,0.86851,0.000775822,0.000775822,0.000775822
29,438.893,0.63915,0.69691,0.89691,0.99781,1,0.995,0.84033,0.61806,0.61084,0.86281,0.000742815,0.000742815,0.000742815
30,458.755,0.611,0.65269,0.88726,0.99781,1,0.995,0.84033,0.61806,0.61084,0.86281,0.000709809,0.000709809,0.000709809
31,479.034,0.61277,0.68646,0.90393,0.99779,1,0.995,0.85031,0.60416,0.61099,0.86189,0.000676802,0.000676802,0.000676802
32,498.934,0.64205,0.65116,0.90324,0.99788,1,0.995,0.83978,0.63968,0.61005,0.86502,0.000643795,0.000643795,0.000643795
33,519.04,0.6554,0.64585,0.91458,0.99807,1,0.995,0.83732,0.6738,0.62005,0.86878,0.000610789,0.000610789,0.000610789
34,539.285,0.68509,0.68966,0.93566,0.9979,1,0.995,0.82481,0.66978,0.61573,0.86719,0.000577782,0.000577782,0.000577782
35,559.652,0.65743,0.67066,0.90664,0.9979,1,0.995,0.83458,0.64043,0.61493,0.86228,0.000544776,0.000544776,0.000544776
36,580.334,0.57602,0.64071,0.893,0.99806,1,0.995,0.85969,0.60466,0.62179,0.85641,0.000511769,0.000511769,0.000511769
37,601.499,0.64118,0.64993,0.90455,0.99736,1,0.995,0.85464,0.57759,0.61332,0.85321,0.000478762,0.000478762,0.000478762
38,621.986,0.63932,0.65203,0.89174,0.99736,1,0.995,0.85464,0.57759,0.61332,0.85321,0.000445756,0.000445756,0.000445756
39,641.554,0.63777,0.63467,0.90377,0.99763,1,0.995,0.867,0.5565,0.59299,0.84819,0.000412749,0.000412749,0.000412749
40,660.877,0.5794,0.60196,0.86725,0.99785,1,0.995,0.86618,0.54883,0.57178,0.8454,0.000379743,0.000379743,0.000379743
41,680.314,0.56012,0.75714,0.86282,0.99758,1,0.995,0.87314,0.53887,0.56961,0.84165,0.000346736,0.000346736,0.000346736
42,692.501,0.55494,0.7389,0.87299,0.99611,1,0.995,0.87195,0.5333,0.59189,0.83876,0.000313729,0.000313729,0.000313729
43,703.762,0.53583,0.74666,0.86909,0.99525,1,0.995,0.864,0.5375,0.63382,0.83862,0.000280723,0.000280723,0.000280723
44,715.834,0.53854,0.76797,0.87074,0.99684,1,0.995,0.86236,0.54374,0.62585,0.84053,0.000247716,0.000247716,0.000247716
45,727.034,0.54818,0.76516,0.85334,0.99767,1,0.995,0.87228,0.54485,0.5956,0.84162,0.00021471,0.00021471,0.00021471
